order,chapter_id,letter_number,source_file,source_sha256,translation_file,status,date,source_pages
22,m1-l0022,0022,processed/vol1/ocr/04_source_spine/m1-l0022/chapter.json,17e4bbdee1f8b7521edc706b5c187562fcc6d0adb0c8ec8a53915f37f3ab2d34,translations/vol1/m1-l0022.en.md,translated,1968-12-02,m1-p0117;m1-p0118
23,m1-l0023,0023,processed/vol1/ocr/04_source_spine/m1-l0023/chapter.json,8d96ec71a0c37c89d58c8cb461abb4cb340aed3f334298c976f19697e0f30efd,translations/vol1/m1-l0023.en.md,translated,1968-12-05,m1-p0119
24,m1-l0024,0024,processed/vol1/ocr/04_source_spine/m1-l0024/chapter.json,5d29541244c70b91ea2ee1dc792cd778ef2310ffb4cdd5940ce9aa2dd3c6acb9,translations/vol1/m1-l0024.en.md,translated,1968-12-07,m1-p0120;m1-p0121;m1-p0122
25,m1-l0025,0025,processed/vol1/ocr/04_source_spine/m1-l0025/chapter.json,7d1360d46044f92d54d504edb99267999a38a9932b69a7c169b910aa1c1e7eea,translations/vol1/m1-l0025.en.md,translated,1968-12-09,m1-p0123;m1-p0124
26,m1-l0026,0026,processed/vol1/ocr/04_source_spine/m1-l0026/chapter.json,ec28555df7590cea874c2e683d1c17333896b269c2584a024a47a371bb24619c,translations/vol1/m1-l0026.en.md,translated,1968-12-20,m1-p0125;m1-p0126
27,m1-l0027,0027,processed/vol1/ocr/04_source_spine/m1-l0027/chapter.json,b4ae81506aeab68fdbffbf47a426096f1078b5c9a22f95b06c31892557036bcf,translations/vol1/m1-l0027.en.md,translated,1968-12-26,m1-p0127;m1-p0128
28,m1-l0028,0028,processed/vol1/ocr/04_source_spine/m1-l0028/chapter.json,21a68325b9bc20e10080a65a7b892963d74fbfb76f3a4fac6fc4dfb0574e819f,translations/vol1/m1-l0028.en.md,translated,1968-12-28,m1-p0129;m1-p0130;m1-p0131
29,m1-l0029,0029,processed/vol1/ocr/04_source_spine/m1-l0029/chapter.json,f0c4bfe3444d382f3c01d2b9e177d9a5bc337b9b2e7ff7e03bd5b0b63cde5a08,translations/vol1/m1-l0029.en.md,translated,1969-01-11,m1-p0132;m1-p0133
30,m1-l0030,0030,processed/vol1/ocr/04_source_spine/m1-l0030/chapter.json,15764166b251b57b67e11a826fab26d74c3ecad1475000a5b0970f031db46d37,translations/vol1/m1-l0030.en.md,translated,1969-01-17,m1-p0134;m1-p0135
31,m1-l0031,0031,processed/vol1/ocr/04_source_spine/m1-l0031/chapter.json,f03dd306d55f55125fdebb5e6e869afd05694b6ec59a02cb6db018df07160933,translations/vol1/m1-l0031.en.md,translated,1969-01-18,m1-p0136;m1-p0137;m1-p0138;m1-p0139;m1-p0140
32,m1-l0032,0032,processed/vol1/ocr/04_source_spine/m1-l0032/chapter.json,2c1af0e0fb43ad6a61ab5033b13115d318aa4d4d439b0a162a19f7defb036bc0,translations/vol1/m1-l0032.en.md,translated,1969-01-28,m1-p0141;m1-p0142
33,m1-l0033,0033,processed/vol1/ocr/04_source_spine/m1-l0033/chapter.json,54c7c6ddbf8d0b3e332450b00c239cdf9f2a585dfed857d9b7148d31bbe6da66,translations/vol1/m1-l0033.en.md,translated,1971-01-01,m1-p0143;m1-p0144;m1-p0145;m1-p0146;m1-p0147
34,m1-l0034,0034,processed/vol1/ocr/04_source_spine/m1-l0034/chapter.json,43a20f5d326f4fe83f3f5e3fa828bf66a6889cde2e0a1f040f052a96dc084240,translations/vol1/m1-l0034.en.md,translated,1971-01-07,m1-p0148;m1-p0149;m1-p0150;m1-p0151
35,m1-l0035,0035,processed/vol1/ocr/04_source_spine/m1-l0035/chapter.json,7dbce662779687c0e409e6efccd397b8a0c4c781d2f0f02844bd117a06c98b4f,translations/vol1/m1-l0035.en.md,translated,1971-01-10,m1-p0152;m1-p0153;m1-p0154;m1-p0155
36,m1-l0036,0036,processed/vol1/ocr/04_source_spine/m1-l0036/chapter.json,b6ba9f9803890a0dae5385cb2cac675f7defce8ec12c09ae6dd09607ebed4252,translations/vol1/m1-l0036.en.md,translated,1971-04-16,m1-p0156;m1-p0157;m1-p0158;m1-p0159;m1-p0160
37,m1-l0037,0037,processed/vol1/ocr/04_source_spine/m1-l0037/chapter.json,fd56b3f2bb02c50f563aa656a0766b248d24e5e95d131904ba7b0464a125b2e9,translations/vol1/m1-l0037.en.md,translated,1971-04-17,m1-p0161;m1-p0162;m1-p0163;m1-p0164
38,m1-l0038,0038,processed/vol1/ocr/04_source_spine/m1-l0038/chapter.json,2816f0401784a8833413841cd8d5fe2b01c72783a85cf43ed86a44984342364c,translations/vol1/m1-l0038.en.md,translated,1971-04-18,m1-p0165;m1-p0166;m1-p0167;m1-p0168
39,m1-l0039,0039,processed/vol1/ocr/04_source_spine/m1-l0039/chapter.json,c821005383b659c76db7fa98e1af06c48f667f83e1cfa4b9e562a4bdec46a886,translations/vol1/m1-l0039.en.md,translated,1971-04-22,m1-p0169;m1-p0170;m1-p0171;m1-p0172;m1-p0173
40,m1-l0040,0040,processed/vol1/ocr/04_source_spine/m1-l0040/chapter.json,387bef8e7ee355eb13a57584d5c3e4ebdcfee5df6ba22f8a1b3cb2bcbe50a53c,translations/vol1/m1-l0040.en.md,translated,1971-04-23,m1-p0174;m1-p0175;m1-p0176;m1-p0177
41,m1-l0041,0041,processed/vol1/ocr/04_source_spine/m1-l0041/chapter.json,e5596b902762c4df922c2c7687d455ad13ccdd9dc07229d90fe4f79d171288ae,translations/vol1/m1-l0041.en.md,translated,1971-05-26,m1-p0178;m1-p0179;m1-p0180
42,m1-l0042,0042,processed/vol1/ocr/04_source_spine/m1-l0042/chapter.json,3a2fb789458efb03efca655a960593c434d4c7576b27a64124a5417f759b12b5,translations/vol1/m1-l0042.en.md,translated,1972-07-10,m1-p0181;m1-p0182;m1-p0183
